,temperature_2m (°C),relative_humidity_2m (%),surface_pressure (hPa),pressure_msl (hPa),wind_speed_10m (km/h),cloud_cover (%),precipitation_probability (%),humidity,pressure,wind_speed,cloud_cover,precip_prob,temp
2025-03-17 00:00:00,17.6,73.0,1020.4,1021.6,4.4,100.0,0.0,,,,,,
2025-03-17 01:00:00,17.4,64.0,1021.4,1022.6,5.6,100.0,0.0,,,,,,
2025-03-17 02:00:00,17.5,65.0,1021.9,1023.1,6.9,100.0,0.0,,,,,,
2025-03-17 03:00:00,17.6,61.0,1022.1,1023.3,7.7,100.0,0.0,,,,,,
2025-03-17 04:00:00,17.3,61.0,1021.2,1022.4,6.6,100.0,0.0,,,,,,
2025-03-17 05:00:00,17.7,61.0,1020.6,1021.8,8.2,100.0,5.0,,,,,,
2025-03-17 06:00:00,18.5,58.0,1019.2,1020.4,5.7,100.0,3.0,,,,,,
2025-03-17 07:00:00,18.6,57.0,1017.9,1019.1,6.4,100.0,0.0,,,,,,
2025-03-17 08:00:00,18.7,57.0,1017.1,1018.3,6.0,100.0,0.0,,,,,,
2025-03-17 09:00:00,18.6,58.0,1016.7,1017.9,5.5,100.0,0.0,,,,,,
2025-03-17 10:00:00,18.4,59.0,1016.9,1018.1,5.8,100.0,0.0,,,,,,
2025-03-17 11:00:00,17.9,63.0,1017.3,1018.5,5.1,100.0,0.0,,,,,,
2025-03-17 12:00:00,17.7,67.0,1018.0,1019.2,5.2,100.0,0.0,,,,,,
2025-03-17 13:00:00,17.4,70.0,1019.3,1020.5,5.6,100.0,0.0,,,,,,
2025-03-17 14:00:00,17.2,75.0,1020.1,1021.3,6.0,100.0,0.0,,,,,,
2025-03-17 15:00:00,16.9,77.0,1020.5,1021.7,4.7,100.0,0.0,,,,,,
2025-03-17 16:00:00,16.7,76.0,1020.5,1021.7,3.5,100.0,0.0,,,,,,
2025-03-17 17:00:00,16.5,75.0,1020.3,1021.5,3.1,100.0,0.0,,,,,,
2025-03-17 18:00:00,16.5,75.0,1021.3,1022.5,1.1,100.0,0.0,,,,,,
2025-03-17 19:00:00,16.5,76.0,1021.3,1022.5,2.9,100.0,0.0,,,,,,
2025-03-17 20:00:00,16.6,75.0,1021.4,1022.6,4.8,100.0,0.0,,,,,,
2025-03-17 21:00:00,16.7,59.0,1021.5,1022.7,9.0,100.0,0.0,,,,,,
2025-03-17 22:00:00,16.2,55.0,1021.7,1022.9,10.6,100.0,0.0,,,,,,
2025-03-17 23:00:00,15.8,57.0,1021.9,1023.1,8.3,100.0,0.0,,,,,,
2025-03-18 00:00:00,16.0,60.0,1023.6,1024.8,5.0,100.0,0.0,,,,,,
2025-03-18 01:00:00,15.9,60.0,1025.0,1026.2,5.7,100.0,0.0,,,,,,
2025-03-18 02:00:00,16.0,62.0,1025.9,1027.1,5.4,100.0,0.0,,,,,,
