latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
21.0,105.875,10.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),surface_pressure (hPa),pressure_msl (hPa),wind_speed_10m (km/h),cloud_cover (%),precipitation_probability (%)
2025-03-17T00:00,17.6,73,1020.4,1021.6,4.4,100,0
2025-03-17T01:00,17.4,64,1021.4,1022.6,5.6,100,0
2025-03-17T02:00,17.5,65,1021.9,1023.1,6.9,100,0
2025-03-17T03:00,17.6,61,1022.1,1023.3,7.7,100,0
2025-03-17T04:00,17.3,61,1021.2,1022.4,6.6,100,0
2025-03-17T05:00,17.7,61,1020.6,1021.8,8.2,100,5
2025-03-17T06:00,18.5,58,1019.2,1020.4,5.7,100,3
2025-03-17T07:00,18.6,57,1017.9,1019.1,6.4,100,0
2025-03-17T08:00,18.7,57,1017.1,1018.3,6.0,100,0
2025-03-17T09:00,18.6,58,1016.7,1017.9,5.5,100,0
2025-03-17T10:00,18.4,59,1016.9,1018.1,5.8,100,0
2025-03-17T11:00,17.9,63,1017.3,1018.5,5.1,100,0
2025-03-17T12:00,17.7,67,1018.0,1019.2,5.2,100,0
2025-03-17T13:00,17.4,70,1019.3,1020.5,5.6,100,0
2025-03-17T14:00,17.2,75,1020.1,1021.3,6.0,100,0
2025-03-17T15:00,16.9,77,1020.5,1021.7,4.7,100,0
2025-03-17T16:00,16.7,76,1020.5,1021.7,3.5,100,0
2025-03-17T17:00,16.5,75,1020.3,1021.5,3.1,100,0
2025-03-17T18:00,16.5,75,1021.3,1022.5,1.1,100,0
2025-03-17T19:00,16.5,76,1021.3,1022.5,2.9,100,0
2025-03-17T20:00,16.6,75,1021.4,1022.6,4.8,100,0
2025-03-17T21:00,16.7,59,1021.5,1022.7,9.0,100,0
2025-03-17T22:00,16.2,55,1021.7,1022.9,10.6,100,0
2025-03-17T23:00,15.8,57,1021.9,1023.1,8.3,100,0
2025-03-18T00:00,16.0,60,1023.6,1024.8,5.0,100,0
2025-03-18T01:00,15.9,60,1025.0,1026.2,5.7,100,0
2025-03-18T02:00,16.0,62,1025.9,1027.1,5.4,100,0
2025-03-18T03:00,16.1,63,1026.0,1027.2,5.4,100,0
2025-03-18T04:00,16.6,60,1025.2,1026.4,8.4,100,0
2025-03-18T05:00,16.9,56,1024.3,1025.5,9.2,100,0
2025-03-18T06:00,18.0,50,1022.7,1023.9,8.8,100,0
2025-03-18T07:00,17.9,50,1022.0,1023.2,8.5,100,0
2025-03-18T08:00,18.1,51,1021.3,1022.5,8.2,100,3
2025-03-18T09:00,18.1,51,1021.3,1022.5,6.5,100,0
2025-03-18T10:00,18.0,52,1021.1,1022.3,5.8,100,3
2025-03-18T11:00,17.6,55,1021.8,1023.0,5.1,100,3
2025-03-18T12:00,18.3,57,1022.2,1023.4,2.6,99,0
2025-03-18T13:00,18.0,58,1023.3,1024.5,2.5,100,0
2025-03-18T14:00,17.8,59,1024.4,1025.6,3.0,83,0
2025-03-18T15:00,17.5,60,1024.1,1025.3,3.0,91,0
